X,Y,por_kmap,por_vmap
260.0,159.0,"[0.10850054 0.10999999 0.1103513  0.11135095 0.11267118 0.11416265
 0.11579058 0.11751772 0.11930457 0.12148899 0.12317054 0.12479748
 0.12632774 0.12683386 0.12811629 0.12909586 0.12989609 0.13050687
 0.13087471 0.13075846 0.12794568 0.12268055 0.12119073 0.12383364
 0.12662732 0.12917009 0.1317009  0.13398524 0.13603571 0.13778902
 0.13926996 0.1403126  0.1407203  0.1407454  0.14059309 0.13938968
 0.1389399  0.13849034 0.13801056 0.13759731 0.13727973 0.13744561
 0.13723788 0.13758042 0.13820076 0.13902796 0.14009331 0.1414577
 0.14306889 0.14496973 0.14571434 0.14649028 0.14653937 0.14664017
 0.14667053 0.14661877 0.14632028 0.14622366 0.14605564 0.14570335
 0.14618882 0.14537725 0.14492385 0.14380173 0.14271876 0.14162109
 0.14055959 0.13938852 0.1386062  0.13797098 0.13748761 0.13712601
 0.13677377 0.13645519 0.13595893 0.13487415 0.13330854 0.13157356
 0.12989374 0.12827022 0.12616717 0.12348867 0.12085202 0.11832557
 0.11592981 0.11368087 0.11159573 0.10969161 0.10806324 0.10622564
 0.10451109 0.10293315 0.10153402 0.10039636 0.09951096 0.09881439
 0.09827328 0.09787935 0.09692854 0.09656004]","[0.8805264  0.860292   0.83723837 0.81228635 0.78514682 0.75586509
 0.72450018 0.69112239 0.65580466 0.6176155  0.57895638 0.53810194
 0.49479554 0.44770797 0.39724386 0.34270979 0.2829186  0.21629562
 0.14240328 0.06696363 0.05300209 0.04913671 0.06013185 0.13376969
 0.19783869 0.24783663 0.28494966 0.31087594 0.3280147  0.33928618
 0.34807525 0.35637328 0.36530115 0.37430307 0.38192079 0.38692734
 0.38709043 0.38189422 0.37102655 0.35478878 0.33423341 0.31158012
 0.28932331 0.273828   0.26968601 0.27608965 0.28707622 0.29665785
 0.30212612 0.30446894 0.30721528 0.31410444 0.32701798 0.34500533
 0.36534517 0.38585426 0.4044575  0.41907007 0.42910168 0.43387083
 0.43300565 0.42560791 0.41017171 0.39059828 0.36582556 0.33799106
 0.31102781 0.28932541 0.27660021 0.26975317 0.2619348  0.24609908
 0.21842125 0.18067049 0.14536902 0.13420925 0.14203337 0.139839
 0.11258094 0.06217498 0.06572324 0.12888522 0.1763451  0.20208056
 0.20822503 0.20093681 0.19125789 0.19060661 0.19793328 0.20073106
 0.18914262 0.16207436 0.13360733 0.14017065 0.19148759 0.26058565
 0.3325908  0.40246459 0.46950989 0.53156988]"
500.0,719.0,"[0.10895207 0.1097703  0.11049359 0.11179397 0.11330313 0.11498809
 0.11681291 0.11873858 0.12113878 0.12303392 0.12490948 0.12671858
 0.1284157  0.1291126  0.13050438 0.13180098 0.13243842 0.13282326
 0.13279426 0.13209872 0.13008143 0.12762763 0.12675903 0.12822284
 0.13051694 0.13290883 0.13527814 0.13754614 0.13961672 0.14138047
 0.14272427 0.14368016 0.14370751 0.14339835 0.14287158 0.142243
 0.14085903 0.14010014 0.13930244 0.13863756 0.13810468 0.13810606
 0.13768577 0.13787676 0.13833191 0.13899492 0.13984667 0.14100225
 0.1423751  0.1438642  0.14498481 0.14562682 0.14608698 0.14638625
 0.14659457 0.14674964 0.1467031  0.14678045 0.14670307 0.14656389
 0.14626388 0.14676989 0.14576198 0.1445857  0.14342871 0.14223848
 0.14087933 0.13987949 0.13903655 0.13838168 0.13790939 0.1375233
 0.13725702 0.13711628 0.13702672 0.13588623 0.13389735 0.13187859
 0.12990993 0.12796043 0.12580535 0.12335452 0.12078528 0.11828067
 0.11588881 0.11363658 0.11154453 0.10963062 0.10791076 0.10630041
 0.10459363 0.10303919 0.10166836 0.10051526 0.09957663 0.09882613
 0.09824517 0.09782217 0.09688897 0.09650374]","[0.86215669 0.840565   0.81678759 0.79100001 0.76321345 0.73349365
 0.7019302  0.66864702 0.63261789 0.59687785 0.55965795 0.52099429
 0.48071886 0.4376417  0.39181974 0.34363307 0.29142961 0.23554625
 0.1793797  0.13446444 0.11671614 0.11307936 0.12545378 0.16502139
 0.210168   0.24818064 0.27565223 0.29282494 0.30186788 0.30633642
 0.31047417 0.31835164 0.33057678 0.34597712 0.36180065 0.37526942
 0.38464946 0.38836267 0.38620013 0.37865674 0.36694571 0.35329469
 0.33908335 0.32901379 0.3253681  0.32782323 0.33356316 0.33943527
 0.34365911 0.34642544 0.34941407 0.35434755 0.36237064 0.3725333
 0.38426131 0.39587545 0.40601497 0.41320363 0.41685206 0.41618861
 0.41059005 0.3978803  0.38015153 0.35527911 0.32370851 0.28721707
 0.25047559 0.2232252  0.21262393 0.21524664 0.21785317 0.20862215
 0.18103145 0.13308501 0.07260488 0.06820882 0.11378445 0.13818336
 0.13741356 0.12628991 0.13597445 0.17171326 0.20878229 0.23441632
 0.24685097 0.24954471 0.24855019 0.24886941 0.25027345 0.24796394
 0.23803628 0.22229536 0.21117851 0.22021068 0.25494951 0.30714416
 0.36700609 0.42854822 0.48967446 0.54758882]"
280.0,789.0,"[0.10892258 0.10960467 0.1108411  0.11232399 0.11402319 0.11590545
 0.117934   0.12052523 0.12261259 0.12472513 0.12681164 0.12943011
 0.13111613 0.13189355 0.1331492  0.13407703 0.13478178 0.13514762
 0.13520638 0.1346902  0.13360137 0.13251794 0.1322823  0.13317358
 0.13484818 0.13701282 0.13937053 0.14176096 0.14404344 0.14531607
 0.14661827 0.14726946 0.14695868 0.14621555 0.14523407 0.14417309
 0.14313968 0.1422017  0.14053695 0.13962114 0.13887043 0.13877118
 0.13869018 0.13806385 0.13834382 0.13885488 0.13951076 0.14051237
 0.1416278  0.14297256 0.14422789 0.14484054 0.14568731 0.14643823
 0.14681058 0.14714318 0.14742987 0.1475105  0.1475476  0.14746516
 0.14766542 0.14771085 0.14649373 0.14524039 0.14398156 0.14266589
 0.14122786 0.14008106 0.13914744 0.13846052 0.13796893 0.13748713
 0.13719997 0.13704888 0.13694944 0.13585159 0.13369283 0.13155895
 0.12942382 0.1273471  0.12532782 0.12290523 0.12043647 0.11800359
 0.11566068 0.11344289 0.11137616 0.10948222 0.10778105 0.10631047
 0.10462439 0.10309402 0.10174026 0.10058093 0.09962034 0.09883263
 0.09822078 0.09777342 0.096857   0.09645664]","[0.84144802 0.81854781 0.7937278  0.76702794 0.73850655 0.70823554
 0.67633021 0.64154679 0.60759459 0.57256871 0.53683303 0.50048855
 0.46397117 0.42568879 0.38705955 0.34714102 0.30544777 0.26321187
 0.22420811 0.19480539 0.17960157 0.1762908  0.18487689 0.20607947
 0.23213015 0.25486065 0.26956833 0.27511017 0.27303488 0.26772774
 0.26519948 0.27175226 0.28863309 0.31253932 0.33831971 0.36177038
 0.38033483 0.39283285 0.39915821 0.39966839 0.39576618 0.38826941
 0.38075939 0.37489073 0.37192513 0.37230053 0.37470288 0.37752863
 0.37973536 0.38125159 0.38284124 0.38508075 0.38719457 0.39112486
 0.39561068 0.39963096 0.40226681 0.40291519 0.40087403 0.39571808
 0.38562628 0.37204372 0.35180301 0.32339053 0.28622863 0.24055838
 0.19049703 0.15038575 0.14314807 0.16408284 0.18403252 0.18685501
 0.16681053 0.12249968 0.05870558 0.05915907 0.12003519 0.15875278
 0.17683285 0.18603615 0.20077073 0.22532274 0.25240843 0.27445256
 0.28864267 0.29598616 0.29929607 0.30093504 0.30114032 0.29843851
 0.29209962 0.28464382 0.2824827  0.29319919 0.32013757 0.36068127
 0.40962029 0.46231984 0.51650969 0.56918631]"
840.0,59.0,"[0.10893113 0.10984681 0.11125352 0.11291604 0.11480484 0.11688694
 0.11962802 0.12186855 0.12496611 0.12712443 0.12926133 0.13131524
 0.13322735 0.13497302 0.13555417 0.13670963 0.13746205 0.13804745
 0.13827652 0.13812704 0.1377164  0.13739208 0.13757025 0.13813907
 0.1394493  0.1412105  0.14327632 0.1455121  0.14777523 0.14984458
 0.15137197 0.15184898 0.15039055 0.14907918 0.14756068 0.14603139
 0.14459486 0.14330674 0.14203868 0.14050318 0.13953772 0.13934984
 0.13909778 0.13864722 0.13823219 0.13860373 0.13907713 0.13985257
 0.14139381 0.14261655 0.14358428 0.14446227 0.14495263 0.14580415
 0.14661261 0.14715677 0.1476908  0.14797568 0.14818601 0.14858321
 0.14835241 0.14822968 0.14736232 0.14596125 0.14452575 0.14288051
 0.14136221 0.13999331 0.13893996 0.13823429 0.13755165 0.13702592
 0.13659673 0.13619868 0.13559002 0.13443874 0.13268804 0.13068344
 0.12861207 0.12648183 0.12457772 0.1222398  0.11987295 0.11753242
 0.11526557 0.11310928 0.11109299 0.10924194 0.10757948 0.106241
 0.10458437 0.10308047 0.10174458 0.10058853 0.09961689 0.09881636
 0.09818624 0.09772316 0.09682425 0.09641285]","[0.8182741  0.79404365 0.76806176 0.74037447 0.71102491 0.68007214
 0.64591002 0.61290817 0.578558   0.54404578 0.5096273  0.47590348
 0.44324741 0.41144601 0.37987833 0.34902795 0.3184635  0.28907348
 0.26296249 0.24321374 0.23168929 0.22813932 0.23202179 0.24181196
 0.25365254 0.26241735 0.26419414 0.25713343 0.24190786 0.22297088
 0.21005841 0.21467258 0.23979047 0.27570553 0.31349353 0.34761153
 0.37550803 0.39633729 0.40991506 0.41748956 0.42007013 0.41786631
 0.41486722 0.41166144 0.40951908 0.40857981 0.40858158 0.40875826
 0.4061137  0.40548171 0.40482657 0.4041176  0.40354589 0.40221552
 0.40036555 0.39752954 0.3932747  0.38766118 0.38040921 0.37063125
 0.35992467 0.34562464 0.32543463 0.29686622 0.25788865 0.2063079
 0.14242072 0.07423653 0.07105532 0.12632315 0.16677836 0.18359108
 0.17726844 0.15281158 0.12631982 0.12995587 0.16355485 0.19736403
 0.221381   0.23890205 0.25629347 0.27640147 0.2973812  0.31576572
 0.32951955 0.33858374 0.34407434 0.34713603 0.34819682 0.34719507
 0.34466158 0.34293123 0.34595169 0.35786356 0.38076935 0.41384636
 0.45441285 0.49934518 0.54683231 0.59406977]"
300.0,100.0,"[0.10897748 0.11013653 0.11170649 0.11354341 0.11561901 0.11790132
 0.12154898 0.12384094 0.12623884 0.12868118 0.13110001 0.13342428
 0.13564999 0.13757346 0.13839776 0.13960734 0.1406337  0.14138783
 0.14185715 0.14206764 0.14212696 0.1422371  0.14269516 0.14312613
 0.14408041 0.14546104 0.14719813 0.14936911 0.1516078  0.15385539
 0.15558594 0.15571621 0.15431257 0.15233552 0.14948024 0.14739674
 0.14550502 0.14426433 0.14269115 0.14147115 0.14059982 0.13979009
 0.13936038 0.13874973 0.13799136 0.1388848  0.13926146 0.13976658
 0.14057075 0.14166866 0.14251113 0.14357232 0.14408003 0.14503472
 0.14625623 0.14702893 0.14780431 0.14833888 0.14912848 0.14922869
 0.14904445 0.14885249 0.14775021 0.14644355 0.14474383 0.14312881
 0.14148548 0.13988914 0.13867226 0.13779045 0.13689606 0.13620942
 0.13558132 0.13486586 0.13399082 0.1327925  0.1312591  0.12942975
 0.12747622 0.12540452 0.12364525 0.12140281 0.11914184 0.11690367
 0.11472831 0.1126511  0.1107028  0.10891091 0.10730104 0.10608567
 0.1044659  0.10299334 0.10168059 0.10053721 0.09956823 0.09877424
 0.09813287 0.09766412 0.09678371 0.09636717]","[0.79267482 0.76702842 0.73981551 0.71107926 0.68082876 0.64907852
 0.61437502 0.58068012 0.54605995 0.51131533 0.47747405 0.44562624
 0.41625747 0.39066268 0.36699692 0.34565848 0.32604453 0.30776042
 0.29170152 0.27914172 0.27090452 0.26697291 0.26671709 0.26847061
 0.26979149 0.26731523 0.25794243 0.23929737 0.2106063  0.17454681
 0.14444541 0.1474755  0.18746308 0.240056   0.29122369 0.33540845
 0.37141211 0.3994018  0.41913669 0.43219026 0.43856949 0.44138035
 0.44153753 0.44014261 0.43841242 0.43328975 0.43100094 0.42854803
 0.42583578 0.42276575 0.4195508  0.415721   0.41134269 0.40523798
 0.39782808 0.38872167 0.37798851 0.36622058 0.35318852 0.34164894
 0.33035886 0.3178467  0.30117663 0.27693528 0.24206025 0.19425766
 0.13207478 0.05975727 0.05931168 0.12497014 0.17236842 0.19771094
 0.20387849 0.19767005 0.19123832 0.19788307 0.2188412  0.24418183
 0.26680767 0.28592972 0.30354355 0.32108312 0.33831344 0.35381309
 0.36643994 0.37590091 0.38257312 0.38702988 0.38972357 0.39110698
 0.39203171 0.39443392 0.40084696 0.41373431 0.43446463 0.46281068
 0.4973797  0.53612437 0.57781741 0.62003384]"
850.0,129.0,"[0.10904317 0.11045149 0.11217489 0.1141779  0.11751917 0.11996793
 0.12235763 0.12464374 0.12726731 0.13006654 0.13284572 0.13555668
 0.13802319 0.14023323 0.14136443 0.14280821 0.14403712 0.14501778
 0.14574454 0.14627079 0.14666463 0.1470339  0.14749706 0.14805129
 0.14867166 0.14963415 0.15094602 0.15265699 0.1547733  0.15724431
 0.15989381 0.15958567 0.15681244 0.15406609 0.15150819 0.14922501
 0.14626131 0.14431858 0.14243215 0.14096079 0.14040711 0.14007523
 0.13946778 0.13936123 0.13884463 0.13849962 0.13862387 0.13894695
 0.13959489 0.14026507 0.14128713 0.14249658 0.14303746 0.14409778
 0.14532352 0.14676419 0.14777872 0.14899064 0.14960811 0.14989402
 0.14976166 0.14939648 0.14822177 0.14682061 0.14494672 0.14317179
 0.14141303 0.13978108 0.13842245 0.13735748 0.13619064 0.13511328
 0.13428809 0.13331639 0.13228411 0.13105127 0.1296052  0.12795988
 0.12614645 0.12464742 0.12255993 0.12042625 0.11827765 0.11614849
 0.11407361 0.11208621 0.11021712 0.10849503 0.106947   0.10559883
 0.10426818 0.10283291 0.10155    0.10042826 0.09947324 0.09868738
 0.09805626 0.09759196 0.09673048 0.09631571]","[0.76469462 0.73753155 0.70902787 0.67921468 0.64757624 0.61371265
 0.58037202 0.5452126  0.50923479 0.47355909 0.43937377 0.40801967
 0.38231242 0.36217889 0.34655587 0.33496992 0.32566625 0.31730806
 0.30963031 0.30289638 0.29740199 0.29310792 0.28948849 0.28514082
 0.27864831 0.26772211 0.25015227 0.22358362 0.18537814 0.13318358
 0.07233584 0.07394618 0.14469254 0.21546491 0.27675702 0.32794795
 0.36986049 0.40243966 0.42641029 0.4434041  0.45283872 0.4591498
 0.46124467 0.45737678 0.4549078  0.45141691 0.44709733 0.44222799
 0.43695131 0.43137909 0.42545243 0.41871631 0.41095186 0.40074132
 0.38840291 0.37344084 0.35636957 0.3373304  0.32004218 0.30562686
 0.29517216 0.28718468 0.27778209 0.26262962 0.2381432  0.20337948
 0.16128677 0.1259995  0.12690163 0.16150095 0.19855935 0.22443089
 0.23753574 0.24240664 0.24603323 0.25498065 0.27073595 0.28996886
 0.30905569 0.32682875 0.34275027 0.35797275 0.3724752  0.38572338
 0.39716097 0.4065483  0.41398968 0.41978774 0.42433497 0.42816615
 0.43214768 0.43774625 0.44668198 0.46051789 0.48016995 0.50561998
 0.53606096 0.57018542 0.60724511 0.64520229]"
0.0,429.0,"[0.10911047 0.11076978 0.1126335  0.11517524 0.11769534 0.11999578
 0.12268393 0.12558065 0.12863047 0.13176272 0.13488789 0.1379288
 0.14070145 0.14316454 0.14521859 0.14618126 0.14760546 0.14879656
 0.14980575 0.15064624 0.15146157 0.15191711 0.15223053 0.15269899
 0.15294666 0.15340151 0.15416252 0.15534377 0.15702991 0.15921538
 0.16173574 0.16121189 0.15797783 0.15494439 0.15215119 0.14964286
 0.14741732 0.14459528 0.14250386 0.14083672 0.14015675 0.13994512
 0.13890954 0.1383569  0.13857171 0.13800976 0.1378151  0.13795577
 0.13844549 0.13893784 0.13986745 0.14047679 0.14177567 0.1429397
 0.14433272 0.14594539 0.14755691 0.14911436 0.15005552 0.15059622
 0.15052007 0.14990814 0.14847578 0.1466173  0.14488457 0.14293727
 0.14105531 0.13932944 0.13783221 0.13633664 0.13515283 0.13408742
 0.13297652 0.13162579 0.13049601 0.12924586 0.12786174 0.12636336
 0.12469777 0.12344093 0.12135514 0.11934004 0.11730968 0.11529424
 0.11332503 0.11143335 0.10964977 0.10800367 0.10652313 0.10523468
 0.10399447 0.10260249 0.10135627 0.10026452 0.09933329 0.09856617
 0.0979551  0.09750491 0.09666181 0.09625614]","[0.73438234 0.7055797  0.67573586 0.64320438 0.61002099 0.57721966
 0.54299195 0.50696963 0.46955475 0.43181015 0.39568636 0.36370246
 0.33954254 0.32438073 0.31755527 0.31566036 0.31665729 0.31761272
 0.31731541 0.31548006 0.31215388 0.3075092  0.30103826 0.29206561
 0.27959841 0.26247223 0.23975871 0.21033391 0.1719872  0.12105939
 0.05718674 0.0602855  0.13843879 0.21176996 0.27503138 0.32820808
 0.37176436 0.40680782 0.4330138  0.45221539 0.46326528 0.4671119
 0.4697     0.46903275 0.46635973 0.46133617 0.45476555 0.44729842
 0.43930174 0.43110022 0.4226552  0.41431566 0.40298327 0.38958196
 0.3731941  0.35305095 0.32940638 0.30320517 0.27894577 0.26078111
 0.25222701 0.25180245 0.25348849 0.25095986 0.24058079 0.22223151
 0.20051476 0.18553402 0.18831867 0.20839747 0.23403006 0.25604749
 0.27154114 0.28220378 0.29075158 0.3010183  0.31423241 0.32939024
 0.34483481 0.35975277 0.37337494 0.38613544 0.39827869 0.409656
 0.4200388  0.42928074 0.43738731 0.44451032 0.45093999 0.45714014
 0.46381559 0.47207965 0.48313644 0.49802417 0.51736588 0.54119564
 0.56899562 0.59989317 0.6335084  0.66811541]"
500.0,200.0,"[0.10804243 0.11150012 0.11322699 0.11518548 0.11786857 0.12052341
 0.12345722 0.12663117 0.12999483 0.13347938 0.13702393 0.14040909
 0.14352694 0.14615713 0.14851202 0.14970691 0.15126665 0.15265775
 0.15402884 0.15509893 0.15600083 0.15669927 0.15701448 0.15741173
 0.15712587 0.1569359  0.15693216 0.15731949 0.15823013 0.15954206
 0.16047979 0.15978998 0.15757825 0.15492182 0.1522267  0.14968455
 0.14735584 0.14527236 0.14323511 0.14119629 0.14054381 0.1395035
 0.1387588  0.13775941 0.13722297 0.13689355 0.13683197 0.13678411
 0.13710646 0.13740259 0.13822665 0.13881757 0.14024482 0.14150123
 0.14305445 0.14489046 0.14726736 0.14896661 0.15042405 0.15134505
 0.15132792 0.15033447 0.14851674 0.14648148 0.1442853  0.14233906
 0.14032396 0.13848743 0.13687005 0.13517378 0.13383917 0.13263671
 0.13137217 0.13019304 0.12863696 0.1273905  0.12606711 0.12467288
 0.12318149 0.12205526 0.12006314 0.11817294 0.11626509 0.11436625
 0.11250508 0.11071149 0.1090159  0.10744838 0.10603803 0.10481227
 0.10365049 0.10230731 0.10110424 0.10005011 0.0991514  0.09841241
 0.09783581 0.09740328 0.09657693 0.09618772]","[0.70077652 0.6686968  0.63785224 0.60604579 0.57258378 0.53954177
 0.50461439 0.46742512 0.42797808 0.38711451 0.34668156 0.31178909
 0.28700133 0.27612736 0.27857564 0.28812669 0.30000951 0.30997384
 0.31620601 0.31842259 0.31678005 0.31157827 0.30270361 0.28979377
 0.27244973 0.25024039 0.22400862 0.19550262 0.16587598 0.13534974
 0.11166281 0.12158401 0.16926952 0.22849908 0.28524278 0.3353295
 0.377603   0.41199824 0.43834393 0.45692905 0.46621519 0.47311206
 0.47548849 0.47417973 0.46977819 0.46273184 0.45427632 0.4438656
 0.43288987 0.42199524 0.41126876 0.40103241 0.3880962  0.37285532
 0.35379337 0.32949372 0.29915434 0.26471688 0.2303858  0.20542966
 0.19936736 0.21064683 0.22749416 0.23999257 0.24410684 0.24061012
 0.23372642 0.23001898 0.23493874 0.24917541 0.2678912  0.28622568
 0.30174561 0.31416203 0.32558535 0.33626408 0.34776666 0.35990584
 0.37201573 0.38378486 0.3945972  0.40472304 0.4146173  0.42434571
 0.43386174 0.44307348 0.45191772 0.46041936 0.46873857 0.47720719
 0.48634766 0.49700084 0.51003626 0.52616651 0.54581503 0.56900481
 0.59534649 0.62423154 0.65552754 0.68772627]"
250.0,419.0,"[0.10932455 0.11122812 0.11310875 0.11564802 0.11816637 0.12101607
 0.12417183 0.12760275 0.13126842 0.13511089 0.13906604 0.14290959
 0.14643901 0.14935747 0.1518037  0.15386152 0.15496185 0.15650867
 0.15801601 0.15942032 0.1606218  0.16150548 0.16180407 0.16173029
 0.16135383 0.16041801 0.15934181 0.1586866  0.15866636 0.15914523
 0.15913002 0.15833512 0.15663669 0.15432301 0.15190606 0.1494361
 0.14708367 0.14491563 0.14359755 0.14238169 0.14017094 0.13895967
 0.13803605 0.13705797 0.13626283 0.13551269 0.13483068 0.13482334
 0.13556878 0.13563802 0.13633869 0.13691487 0.13840019 0.13972517
 0.14144549 0.14364998 0.14588924 0.14841383 0.15056625 0.15212311
 0.15216593 0.15051009 0.14816373 0.14577011 0.14337779 0.14129929
 0.13916846 0.13723952 0.13529439 0.13368144 0.13224978 0.13096154
 0.12959496 0.12836802 0.12713772 0.12587465 0.12424185 0.1229545
 0.12231741 0.12060214 0.118713   0.11695218 0.11516971 0.11338876
 0.11163572 0.10993966 0.1083313  0.10684185 0.1055018  0.10433978
 0.10324345 0.10195381 0.10079971 0.09979014 0.09800798 0.09730719
 0.09677531 0.09640003 0.09561562 0.09528866]","[0.66419732 0.63159753 0.59923759 0.56539742 0.53334139 0.50029519
 0.46542863 0.42777996 0.38662562 0.34207003 0.29576159 0.25349262
 0.22419147 0.21715322 0.23122357 0.25519266 0.27827363 0.29679211
 0.30854014 0.31358784 0.31267433 0.30658033 0.29557473 0.27954166
 0.25782222 0.23036214 0.19939505 0.17107057 0.1527004  0.14570757
 0.14960099 0.16959988 0.20699278 0.25381218 0.30216238 0.34665065
 0.38541693 0.41770422 0.4394396  0.45629648 0.46824682 0.47457697
 0.47609843 0.47332864 0.46687035 0.45734195 0.44549672 0.43191184
 0.41782473 0.40403933 0.39129593 0.37993909 0.3668743  0.3517388
 0.33210303 0.30550607 0.27072665 0.22711493 0.17837973 0.13877203
 0.13530913 0.16609956 0.20224838 0.22982722 0.2463497  0.25390193
 0.25663253 0.25953007 0.26655999 0.27852812 0.29383314 0.30983642
 0.32491371 0.33801496 0.34955904 0.3601931  0.37092232 0.38046749
 0.38982307 0.39790541 0.40567191 0.41300062 0.42065149 0.42887871
 0.43774812 0.44716079 0.45694375 0.46696444 0.47722593 0.48791454
 0.49939684 0.51232309 0.52734602 0.54496921 0.5637638  0.58713377
 0.61307253 0.64106104 0.6712021  0.70203669]"
510.0,339.0,"[0.10885526 0.11113654 0.11313146 0.11575644 0.11841699 0.12142704
 0.12476733 0.12841552 0.13234436 0.1365492  0.14088998 0.14527599
 0.14928129 0.15254347 0.15490276 0.15696027 0.15816793 0.15996688
 0.16184867 0.16368228 0.16529254 0.16638333 0.16684286 0.16655133
 0.16568645 0.16382229 0.16164349 0.15970347 0.15864198 0.15864862
 0.15813401 0.15725922 0.15573714 0.15370992 0.15142569 0.14903376
 0.1466813  0.14526969 0.14313386 0.14179538 0.14036986 0.13832676
 0.13723753 0.13640129 0.1351897  0.13425517 0.13331862 0.13308494
 0.1329854  0.13364316 0.13346946 0.13475196 0.13621006 0.13756915
 0.13935927 0.14162301 0.14407607 0.14711619 0.14995501 0.15269187
 0.15279348 0.14993742 0.14708859 0.14439179 0.141935   0.1395796
 0.13756065 0.13558097 0.13352905 0.13186908 0.13039528 0.12894687
 0.12765635 0.12642589 0.12522158 0.12401832 0.12280137 0.12122871
 0.12069112 0.11910628 0.11733063 0.11570344 0.11404857 0.1123855
 0.11073861 0.10913677 0.10761187 0.10619708 0.10492495 0.1038259
 0.101834   0.1005578  0.09943212 0.09846393 0.09765753 0.09701508
 0.09653736 0.09621481 0.09544964 0.09516002]","[0.62724469 0.59243955 0.55831295 0.5239601  0.49192234 0.45977376
 0.42625292 0.38966995 0.34828764 0.30057169 0.24767046 0.19320048
 0.15142936 0.14763545 0.17977927 0.22090861 0.25588186 0.28132419
 0.29661547 0.30276681 0.30127823 0.29362229 0.28072797 0.26252435
 0.23766251 0.20475026 0.16499989 0.12938459 0.12048313 0.13925383
 0.16748972 0.20001345 0.23750485 0.27836373 0.31993763 0.35868762
 0.39308124 0.41902893 0.44104569 0.45623688 0.46649531 0.47184633
 0.47191488 0.46720565 0.45817973 0.44550326 0.42998467 0.41229787
 0.39414547 0.37722544 0.3637295  0.35097365 0.33966876 0.32725093
 0.31027734 0.28521214 0.24929311 0.2002156  0.13719289 0.06672956
 0.06551197 0.13085397 0.18525841 0.22340828 0.24739621 0.2609902
 0.26864283 0.27479873 0.28314696 0.2946488  0.30883973 0.32425668
 0.33916987 0.35262629 0.36431445 0.37434327 0.38292815 0.39083068
 0.39699088 0.40164226 0.4061088  0.41042384 0.41575988 0.4226036
 0.4311013  0.44106401 0.45211407 0.46388919 0.47620388 0.48911231
 0.50108453 0.51608915 0.53309313 0.55246344 0.57435847 0.59868475
 0.62509873 0.65309296 0.68294709 0.7131884 ]"
300.0,679.0,"[0.10853251 0.11106695 0.11343761 0.11582654 0.11859132 0.12171849
 0.12519284 0.12899764 0.13311573 0.13755353 0.1422349  0.14715646
 0.15205947 0.15555853 0.15739577 0.15955054 0.1617064  0.16332099
 0.16571632 0.16814453 0.17035184 0.17192281 0.17261955 0.17218212
 0.17054417 0.16803152 0.1643922  0.16049098 0.15859895 0.15855448
 0.15767975 0.15661687 0.15505455 0.15309218 0.15094226 0.14867201
 0.14700007 0.14483141 0.1428007  0.14114887 0.13956661 0.13825233
 0.13649459 0.13523648 0.13408874 0.13290613 0.13226895 0.13126331
 0.13084104 0.13093966 0.1308433  0.13229225 0.13399637 0.13502198
 0.13692973 0.13904408 0.14153558 0.14437537 0.14764294 0.15044972
 0.15056665 0.14768927 0.1448918  0.14219685 0.13973507 0.13743924
 0.13549826 0.13327466 0.13140957 0.12975623 0.12829538 0.12684037
 0.12557202 0.12437964 0.12323463 0.12211602 0.12101062 0.12073731
 0.11901459 0.11758892 0.11607567 0.11445122 0.11292633 0.11138015
 0.10983536 0.10832155 0.10687319 0.10468467 0.10338157 0.102271
 0.10122641 0.1000257  0.09897466 0.0980796  0.09734385 0.09676869
 0.09635411 0.09570827 0.09534419 0.09509906]","[0.58881406 0.55089841 0.5132073  0.47956159 0.44799347 0.41785503
 0.38748099 0.35439601 0.31577104 0.26877491 0.21186087 0.14433998
 0.07450509 0.07309761 0.1373277  0.19511289 0.23841849 0.26676661
 0.28257751 0.2874098  0.28348361 0.27319676 0.25856179 0.23998802
 0.2152133  0.179822   0.12996848 0.07015147 0.06774743 0.12437353
 0.17571146 0.21964093 0.25986111 0.29817784 0.33474341 0.36825219
 0.39571159 0.4203569  0.44021925 0.45288341 0.46154141 0.46495985
 0.46349937 0.45652535 0.44467562 0.42840278 0.40829225 0.38585179
 0.36258861 0.34130168 0.32542169 0.31372709 0.30648946 0.30006467
 0.28948473 0.27049547 0.23948404 0.19426542 0.13422641 0.06579359
 0.06546895 0.13104567 0.18556458 0.22389574 0.24811691 0.26197441
 0.26992171 0.27654253 0.28504306 0.29693796 0.31171574 0.32799107
 0.34378128 0.357864   0.36959625 0.37883529 0.38569947 0.39091983
 0.39403663 0.39498336 0.39550763 0.39669395 0.39953332 0.40509971
 0.41360317 0.42463095 0.43743041 0.44990131 0.46408528 0.47894347
 0.49475233 0.51206349 0.53135707 0.55291016 0.57677103 0.60274852
 0.630438   0.65965863 0.68973239 0.72017638]"
